"term","estimate","std.error","statistic","p.value","log_transform","significance","tech","estimate_label"
"US",30741.0794,"3984.6764","7.7148",3.62913838342206e-14,Inf,"***","Tech","$30,741"
"US",11828.7928,"742.7107","15.9265",1.23901131109165e-56,Inf,"***","Non-tech","$11,829"
