"term","estimate","std.error","statistic","p.value","log_transform","significance","tech","GEO","estimate_label"
"Tech hub",615,"2996.2106","0.2052",0.837409480444286,"117492166851720562952000220284624860600480862482268886862802200604080464262660868088408840020646064262224622840642462866840624044482066482244804228806028228882062806888600428828266200264862446666820808406684624882044622280464624042602224022084642062206662268408646640606.00%","","Tech","Canada","$615"
"Tech hub",7491,"1318.9298","5.6794",1.40157906270834e-08,"Inf%","***","Tech","US","$7,491"
